STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/4/2000,2054,0.01,,72,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/5/2000,1039,0,,73,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/6/2000,1702,0,,73,60,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/7/2000,1258,0,,69,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/8/2000,743,0.46,,80,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/9/2000,929,0,,86,72,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/10/2000,1813,0.23,,77,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/11/2000,1821,0,,72,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/12/2000,858,0,,74,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/13/2000,1649,0,,85,62,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/14/2000,101,0.24,,83,64,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/15/2000,955,0,,74,62,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/16/2000,724,0,,78,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/17/2000,2338,0,,83,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/18/2000,2359,0,,64,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/19/2000,201,0,,66,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/20/2000,1353,0.33,,75,55,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/21/2000,1517,0,,73,55,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/22/2000,1517,0,,67,55,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/23/2000,1550,0,,70,53,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/24/2000,1408,0,,72,51,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/25/2000,1521,0,,77,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/26/2000,1041,0.02,,81,65,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/27/2000,2114,0.12,,82,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/28/2000,1539,0.12,,76,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/29/2000,1634,0.02,,73,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/30/2000,1606,0.36,,70,67,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",7/31/2000,312,0.83,,71,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/1/2000,953,0,,81,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/2/2000,2018,0.28,,81,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/3/2000,603,0,,68,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/4/2000,1441,0,,76,57,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/5/2000,1256,1.14,,73,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/6/2000,1706,0,,86,67,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/7/2000,1257,0,,83,65,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/8/2000,1253,0,,84,69,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/9/2000,1416,0,,84,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/10/2000,1108,0,,80,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/11/2000,1217,0.01,,74,61,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/12/2000,1532,0.01,,77,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/13/2000,1306,0,,82,67,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/14/2000,1552,0,,81,68,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/15/2000,154,0,,88,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/16/2000,853,0,,71,57,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/17/2000,629,1.07,,70,56,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/18/2000,1141,0.07,,71,58,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/19/2000,1456,0,,66,57,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/20/2000,1246,0,,69,54,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/21/2000,1515,0,,72,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/22/2000,1608,0.19,,81,66,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/23/2000,1119,0,,77,64,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/24/2000,1546,0.01,,79,62,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/25/2000,1406,0,,81,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/26/2000,946,0,,74,63,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/27/2000,929,0,,72,65,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/28/2000,2252,0,,74,68,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/29/2000,1350,0,,78,67,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/30/2000,829,0,,74,67,
USW00094818,"RACINE BATTEN AIRPORT, WI US",8/31/2000,1524,0,,83,70,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/1/2000,1740,0,,86,69,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/2/2000,603,0.38,,83,67,0
USW00094818,"RACINE BATTEN AIRPORT, WI US",9/3/2000,2207,0.1,,80,65,
